iodepth,bs,rw,,usr_cpu,write_clat,read_clat,read_runtime,sys_cpu,write_slat,write_runtime,write_bw,read_io_bytes,write_io_bytes,error,read_slat,write_iops,read_iops,read_bw
64,4K,write,,14.62,1435.28,0.00,0,33.85,5.93,5909,177454,0,1048576,0,0.00,44363,0,0
64,512,randread,,1.11,0.00,61284.23,2008885,2.48,0.00,0,0,1048576,0,0,17.50,0,1043,521
64,512,randwrite,,0.96,85912.77,0.00,0,2.11,19.13,2815996,372,0,1048576,0,0.00,744,0,0
64,512,read,,12.40,0.00,862.80,28457,54.16,0.00,0,0,1048576,0,0,4.42,0,73695,36847
64,512,write,,9.56,858.92,0.00,0,57.24,4.51,28332,37010,0,1048576,0,0.00,74020,0,0
64,64K,randread,,0.63,0.00,86130.78,22060,2.74,0.00,0,0,1048576,0,0,25.98,0,742,47532
64,64K,randwrite,,1.23,106598.32,0.00,0,2.10,27.18,27302,38406,0,1048576,0,0.00,600,0,0
64,64K,read,,1.53,0.00,20326.77,5213,9.59,0.00,0,0,1048576,0,0,25.28,0,3142,201146
64,64K,write,,4.28,20419.37,0.00,0,8.02,28.38,5237,200224,0,1048576,0,0.00,3128,0,0
8,16K,randread,,0.96,0.00,11285.68,92669,2.33,0.00,0,0,1048576,0,0,20.66,0,707,11315
8,16K,randwrite,,0.92,11082.34,0.00,0,2.03,21.53,91005,11522,0,1048576,0,0.00,720,0,0
8,16K,read,,11.06,0.00,640.73,5388,20.94,0.00,0,0,1048576,0,0,13.48,0,12163,194613
8,16K,write,,10.51,622.07,0.00,0,24.52,16.07,5254,199576,0,1048576,0,0.00,12473,0,0
8,1M,randread,,0.04,0.00,69686.77,8941,1.34,0.00,0,0,1048576,0,0,86.92,0,114,117277
8,1M,randwrite,,0.85,55285.60,0.00,0,1.46,128.11,7100,147686,0,1048576,0,0.00,144,0,0
8,1M,read,,0.00,0.00,40544.94,5209,2.46,0.00,0,0,1048576,0,0,91.61,0,196,201300
8,1M,write,,1.84,40708.51,0.00,0,1.22,120.76,5232,200415,0,1048576,0,0.00,195,0,0
8,256K,randread,,0.37,0.00,23088.52,11847,2.06,0.00,0,0,1048576,0,0,35.75,0,345,88509
8,256K,randwrite,,1.06,23520.06,0.00,0,1.42,43.58,12072,86860,0,1048576,0,0.00,339,0,0
8,256K,read,,0.00,0.00,10136.04,5213,4.22,0.00,0,0,1048576,0,0,38.76,0,785,201146
8,256K,write,,2.79,10252.64,0.00,0,2.79,52.54,5309,197509,0,1048576,0,0.00,771,0,0
8,2K,randread,,1.01,0.00,10554.37,693207,2.18,0.00,0,0,1048576,0,0,17.84,0,756,1512
8,2K,randwrite,,0.87,10485.68,0.00,0,1.90,16.91,688612,1522,0,1048576,0,0.00,761,0,0
8,2K,read,,13.01,0.00,73.17,5228,69.10,0.00,0,0,1048576,0,0,5.51,0,100284,200569
8,2K,write,,14.59,82.59,0.00,0,69.32,6.57,5921,177094,0,1048576,0,0.00,88547,0,0
8,4K,randread,,1.04,0.00,10611.25,348485,2.19,0.00,0,0,1048576,0,0,18.16,0,752,3008
8,4K,randwrite,,0.90,10562.16,0.00,0,1.85,17.09,346819,3023,0,1048576,0,0.00,755,0,0
8,4K,read,,4.05,0.00,153.88,5231,42.52,0.00,0,0,1048576,0,0,4.49,0,50113,200454
8,4K,write,,17.64,153.59,0.00,0,32.15,4.95,5239,200148,0,1048576,0,0.00,50037,0,0
8,512,randread,,1.02,0.00,10524.87,2765114,2.16,0.00,0,0,1048576,0,0,17.97,0,758,379
8,512,randwrite,,0.91,10591.02,0.00,0,1.88,17.26,2782174,376,0,1048576,0,0.00,753,0,0
8,512,read,,17.98,0.00,53.97,16023,80.94,0.00,0,0,1048576,0,0,5.64,0,130883,65441
8,512,write,,16.79,55.47,0.00,0,82.90,6.49,16489,63592,0,1048576,0,0.00,127184,0,0
8,64K,randread,,0.87,0.00,14087.06,28913,2.24,0.00,0,0,1048576,0,0,23.74,0,566,36266
8,64K,randwrite,,1.17,13821.40,0.00,0,1.69,28.09,28377,36951,0,1048576,0,0.00,577,0,0
8,64K,read,,1.84,0.00,2517.40,5215,9.44,0.00,0,0,1048576,0,0,25.79,0,3141,201069
8,64K,write,,3.22,2514.31,0.00,0,9.21,28.91,5215,201069,0,1048576,0,0.00,3141,0,0
